country name, official name, correction width, correction height, scaling
usa, United States of America, -150, 0, 1
russia, Russian Federation, 0, 0, 1
china, People's Republic of China, -515, -296, 1.74
france, French Republic, 0, 0, 1
uk, United Kingdom of Great Britain and Northern Ireland, 0, 0, 1
afghanistan, Islamic Emirate of Afghanistan, 0, 0, 1
albania, Republic of Albania, 0, 0, 1
algeria, People's Democratic Republic of Algeria, 0, 0, 1
argentina, Argentine Republic, 0, 0, 1.5
armenia, Republic of Armenia, 0, 0, 1
australia, Commonwealth of Australia, -150, 0, 1
austria, Republic of Austria, -50, 0, 2
azerbaijan, Republic of Azerbaijan, 0, 0, 2
bahrain, Kingdom of Bahrain, -150, 0, 1
bangladesh, People's Republic of Bangladesh, -75, 0, 1
belarus, Republic of Belarus, -400, 0, 1
belgium, Kindgom of Belgium, 0, 0, 1
bhutan, Kingdom of Bhutan, 0, 0, 1
botswana, Republic of Botswana, 0, 0, 1
brazil, Federative Republic of Brazil, 0, 0, 1
bulgaria, Republic of bulgaria, 0, 0, 1
cambodia, Kingdom of Cambodia, 0, 0, 1
cameroon, Republic of Cameroon, 0, 0, 1
canada, Canada, 0, 0, 1
car, Central African Republic, 0, 0, 1
chad, Republic of Chad, 0, 0, 1
chile, Republic of Chile, -200, 0, 1
colombia, Republic of Colombia, 0, 0, 1
georgia, Republic of Georgia, 0, 0, 1
germany, Federal Republic of Germany, 0, 0, 1
honduras, Republic of Honduras, 0, 0, 1
hungary, Hungary, 0, 0, 1
iceland, Iceland, 0, 0, 1
india, Republic of India, 0, 0, 1
iran, Islamic Republic of Iran, 0, 0, 1
iraq, Republic of Iraq, 0, 0, 1
ireland, Ireland, 0, 0, 1
israel, State of Israel, 0, 0, 1
italy, Italian Republic, 0, 0, 1
jordan, Hashemite Kingdom of Jordan, -100, 0, 1
kuwait, State of Kuwait, 0, 0, 1
laos, Lao People's Democratic Republic, 0, 0, 1
kyrgyzstan, Kyrgyz Republic, 0, 0, 1
croatia, Republic of Croatia, 0, 0, 1
cyprus, Republic of Cyprus, 0, 0, 1
czech republic, Czech Republic, 0, 0, 1
denmark, Kingdom of Denmark, 0, 0, 1
djibouti, Republic of Djibouti, -100, 0, 1
egypt, Arab Republic of Egypt, 0, 0, 1
el salvador, Republic of El Salvador, 0, 0, 1
ethiopia, Federal Democratic Republic of Ethiopia, 0, 0, 1
eritrea, State of Eritrea, -300, 0, 1
finland, Republic of Finland, 0, 0, 1
thailand, Kingdom of Thailand, 0, 0, 1
ukraine, Ukraine, 0, 0, 1
uae, United Arab Emirates, -200, 0, 1
venezuela, Bolivarian Republic of Venezuela, 0, 0, 1
vietnam, Socialist Republic of Vietnam, 0, 0, 1
yemen, Republic of Yemen, 0, 0, 1
zimbabwe, Republic of Zimbabwe, -400, 0, 1
lebanon, Lebanese Republic, 0, 0, 1
libya, State of Libya, 0, 0, 1
malaysia, Malaysia, -700, -300, 1.8
malta, Republic of Malta, 0, 0, 1
mexico, United Mexican States, 0, 0, 1
mongolia, Mongolia, -400, 0, 1
morocco, Kingdom of Morocco, 0, 0, 1
mozambique, Republic of Mozambique, -200, 0, 1
namibia, Republic of Namibia, -150, 0, 1
netherlands, Netherlands, 0, 0, 1
new zealand, New Zealand, 0, 0, 1
niger, Republic of Niger, 0, 0, 1
nigeria, Federal Republic of Nigeria, 0, 0, 1
north korea, Democratic People's Republic of Korea, -100, 0, 1
norway, Kingdom of Norway, 0, 0, 1
oman, Sultanate of Oman, -400, 0, 1
pakistan, Islamic Republic of Pakistan, 0, 0, 1
palestine, State of Palestine, -200, 0, 1
peru, Republic of Peru, 0, 0, 1
philippines, Republic of Philippines, -350, 0, 1
poland, Republic of Poland, 0, 0, 1
romania, Romania, 0, 0, 1
qatar, State of Qatar, 0, 0, 1
saudi arabia, Kingdom of Saudi Arabia, 0, 0, 1
singapore, Republic of Singapore, -200, 0, 1
south africa, Republic of South Africa, -200, 0, 1
spain, Kingdom of Spain, -200, 0, 1
south sudan, Republic of South Sudan, -300, 0, 1
syria, Syrian Arab Republic, 0, 0, 1
